symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
STNE,2023-12-31,f,0.54218,0.17004,4369,"[9.44,9.54,12.74,10.67,18.03]","[12021200.0000,12223700.0000,10886400.0000,10237882.0000,9933400.0000]","[12021200,12223700,10886400,10237882,9933400]",12.06,179099,9933400.0000,-304482.0000,-2.97
GM,2023-12-31,f,0.53735,0.04295,18597,"[33.64,36.68,38.56,32.97,35.92]","[820690.0000,1424455.0000,2665307.0000,4401818.0000,4941654.0000]","[820690,1346055,2556107,4747718,5108254]",36.63,177504,4941654.0000,539836.0000,12.26
ASML,2023-12-31,f,0.52124,0.47344,137016,"[546.40,680.71,724.75,588.66,756.92]","[136557.0000,8200.0000,0.0000,23821.0000,227474.0000]","[136557,8200,0,23821,226274]",671.11,172180,227474.0000,203653.0000,854.93
MSFT,2023-12-31,f,0.51968,-1.65949,542877,"[239.82,288.30,340.54,315.75,376.04]","[505525.0000,449115.0000,1822955.0000,2025973.0000,456511.0000]","[360025,453815,1827655,2030673,354711]",302.64,171666,456511.0000,-1569462.0000,-77.47
PCG,2023-12-31,f,0.51783,-0.01111,2370,"[16.26,16.17,17.28,16.13,18.03]","[3686207.0000,290555.0000,839580.0000,9626009.0000,9487256.0000]","[3692207,280655,184680,9616109,9926556]",16.55,171055,9487256.0000,-138753.0000,-1.44
ETR,2023-12-31,f,0.50339,0.12677,43402,"[112.50,107.74,97.37,92.50,101.19]","[212568.0000,1395100.0000,682000.0000,1195166.0000,1643300.0000]","[212568,1395100,682000,1195166,1643300]",101.70,166286,1643300.0000,448134.0000,37.50
TSM,2023-12-31,f,0.50285,0.08810,18725,"[74.49,93.02,100.92,86.90,104.00]","[1201600.0000,1267205.0000,1872214.0000,1401000.0000,1597174.0000]","[1201600,1267205,1872214,1401000,1697174]",90.32,166106,1597174.0000,196174.0000,14.00
RCL,2023-12-31,f,0.49619,0.18876,31738,"[49.43,65.30,103.74,92.14,129.49]","[324642.0000,952550.0000,135331.0000,979385.0000,1265780.0000]","[339642,1037550,135331,988485,1285580]",95.89,163906,1265780.0000,286395.0000,29.24
KDP,2023-12-31,f,0.49445,0.18852,66761,"[35.66,35.28,31.27,31.57,33.32]","[429.0000,906806.0000,41660.0000,2844501.0000,4901866.0000]","[-19871,886506,21360,2841701,4899066]",31.89,163330,4901866.0000,2057365.0000,72.33
PM,2023-12-31,f,0.48170,0.31292,107911,"[101.21,97.25,97.62,92.58,94.08]","[805126.0000,773145.0000,747292.0000,535110.0000,1691337.0000]","[805126,773145,747292,535110,1691337]",92.94,159121,1691337.0000,1156227.0000,216.07
KO,2023-12-31,f,0.47979,0.35852,118003,"[63.61,62.03,60.22,55.98,58.93]","[1766788.0000,586302.0000,505392.0000,635802.0000,2689453.0000]","[1688288,568502,505392,630002,2689453]",57.94,158489,2689453.0000,2053651.0000,323.00
SHEL,2023-12-31,f,0.47441,0.47439,155022,"[56.95,57.54,60.38,64.38,65.80]","[527400.0000,3332660.0000,1661650.0000,0.0000,2381661.0000]","[527400,3331760,1660750,-900,2380761]",65.09,156713,2381661.0000,2381661.0000,
PPL,2023-12-31,f,0.46394,-0.04603,17700,"[29.22,27.79,26.46,23.56,27.10]","[3026364.0000,4770014.0000,5362449.0000,6353854.0000,5655060.0000]","[3026364,4770014,5362449,6353854,5655060]",27.78,153252,5655060.0000,-698794.0000,-11.00
LHX,2023-12-31,f,0.46241,0.35398,104352,"[208.21,196.24,195.77,174.12,210.62]","[283.0000,192834.0000,234011.0000,182775.0000,725228.0000]","[283,192834,234011,182775,725228]",194.58,152748,725228.0000,542453.0000,296.79
T,2023-12-31,f,0.46159,0.25098,79038,"[18.41,19.25,15.95,15.02,16.78]","[0.0000,9611100.0000,8521800.0000,4115900.0000,9086854.0000]","[0,9611100,8521800,4115900,9086854]",17.23,152477,9086854.0000,4970954.0000,120.77
PFGC,2023-12-31,f,0.46018,0.37442,113341,"[58.39,60.34,60.24,58.86,69.15]","[228841.0000,366000.0000,610718.0000,427599.0000,2198282.0000]","[228841,366000,610718,427599,2198282]",62.46,152011,2198282.0000,1770683.0000,414.10
MMM,2023-12-31,f,0.45632,0.45574,139734,"[119.92,105.11,100.09,93.62,109.32]","[0.0000,0.0000,0.0000,1748.0000,1378840.0000]","[0,-3900,0,1748,1396440]",101.46,150735,1378840.0000,1377092.0000,78781.01
WMT,2023-12-31,f,0.45554,-0.03716,7970,"[141.79,147.45,157.18,159.93,157.65]","[0.0000,2812781.0000,1139778.0000,904325.0000,954515.0000]","[37100,2974881,1178078,941025,987815]",145.37,150479,954515.0000,50190.0000,5.55
LEN,2023-12-31,f,0.44955,0.44889,129947,"[90.50,105.11,125.31,112.23,149.04]","[0.0000,166200.0000,0.0000,1675.0000,996367.0000]","[0,166200,0,1675,1002467]",130.62,148499,996367.0000,994692.0000,59384.60
DLTR,2023-12-31,f,0.44382,-0.06020,44459,"[141.44,143.55,143.50,106.45,142.05]","[0.0000,0.0000,467163.0000,1389906.0000,1032088.0000]","[0,0,467163,1389906,1032088]",131.21,146608,1032088.0000,-357818.0000,-25.74
CLX,2023-12-31,f,0.43848,0.43846,138993,"[140.33,158.24,159.04,131.06,142.59]","[0.0000,2273.0000,0.0000,0.0000,1015805.0000]","[0,2273,0,0,1015805]",136.83,144844,1015805.0000,1015805.0000,
LW,2023-12-31,f,0.43783,-0.02799,14124,"[89.36,104.52,114.95,92.46,108.09]","[1928598.0000,1242811.0000,1738433.0000,1478876.0000,1338031.0000]","[1928598,1242811,1738433,1857776,1386931]",85.83,144628,1338031.0000,-140845.0000,-9.52
CCEP,2023-12-31,f,0.43561,0.19321,65726,"[55.32,59.19,64.43,62.48,66.74]","[525787.0000,691989.0000,692001.0000,1138778.0000,2156056.0000]","[525787,691989,692001,1138778,2156056]",59.80,143895,2156056.0000,1017278.0000,89.33
QRVO,2023-12-31,f,0.43189,0.04152,6933,"[90.64,101.57,102.03,95.47,112.61]","[1274670.0000,863103.0000,1087969.0000,1200260.0000,1266899.0000]","[1274670,863103,1087969,1196460,1263099]",90.23,142665,1266899.0000,66639.0000,5.55
CTRA,2023-12-31,f,0.42863,0.04681,36929,"[24.57,24.54,25.30,27.05,25.52]","[0.0000,121624.0000,3415193.0000,4143462.0000,5548159.0000]","[0,91624,3385193,4160462,5648259]",25.42,141589,5548159.0000,1404697.0000,33.90
AMT,2023-12-31,f,0.42028,-0.24631,103985,"[211.86,204.34,193.94,164.45,215.88]","[173036.0000,429029.0000,850703.0000,1189900.0000,643100.0000]","[173036,429029,1105703,1369900,643100]",197.44,138832,643100.0000,-546800.0000,-45.95
