symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
LPX,2023-12-31,f,0.14365,0.01935,0,"[59.20,54.21,74.98,55.27,70.83]","[7044909.0000,7044909.0000,7044909.0000,7044909.0000,7044909.0000]","[7044909,7044909,7044909,7044909,7044909]",52.40,498991,7044909.0000,0.0000,0.00
FWONK,2023-12-31,f,0.14035,-0.01323,0,"[59.78,74.83,75.28,62.30,63.13]","[7722451.0000,7722451.0000,7722451.0000,7722451.0000,7722451.0000]","[7722451,7722451,7722451,7722451,7722451]",64.01,487518,7722451.0000,0.0000,0.00
LLYVK,2023-12-31,f,0.11983,0.00575,0,"[32.10,37.39]","[0.0000,0.0000,0.0000,11132590.0000,11132590.0000]","[0,0,0,11132590,11132590]",32.10,416248,11132590.0000,0.0000,0.00
SIRI,2023-12-31,f,0.06337,0.04940,152799,"[5.84,3.97,4.53,4.52,5.47]","[0.0000,0.0000,0.0000,9683224.0000,40243058.0000]","[0,0,0,9683224,40243058]",4.89,220130,40243058.0000,30559834.0000,315.60
LLYVA,2023-12-31,f,0.05316,0.00168,0,"[31.92,36.55]","[0.0000,0.0000,0.0000,5051918.0000,5051918.0000]","[0,0,0,5051918,5051918]",31.92,184648,5051918.0000,0.0000,0.00
NVR,2023-12-31,f,0.02239,0.00124,0,"[4612.58,5572.19,6350.62,5963.30,7000.45]","[0.0000,0.0000,11112.0000,11112.0000,11112.0000]","[0,0,11112,11112,11112]",5961.41,77789,11112.0000,0.0000,0.00
DEO,2023-12-31,f,0.00955,-0.00130,0,"[178.19,181.18,173.48,149.18,145.66]","[0.0000,227750.0000,227750.0000,227750.0000,227750.0000]","[0,227750,227750,227750,227750]",179.69,33174,227750.0000,0.0000,0.00
LENB,2023-12-31,f,0.00589,0.00091,0,"[74.78,89.31,112.98,102.23,134.05]","[0.0000,0.0000,152572.0000,152572.0000,152572.0000]","[0,0,152572,152572,152572]",101.15,20452,152572.0000,0.0000,0.00
LILA,2023-12-31,f,0.00554,-0.00131,0,"[7.53,8.31,8.75,8.16,7.31]","[2630792.0000,2630792.0000,2630792.0000,2630792.0000,2630792.0000]","[2630792,2630792,2630792,2630792,2630792]",35.16,19231,2630792.0000,0.0000,0.00
VOO,2023-12-31,f,0.00541,0.00002,0,"[351.34,376.07,407.28,392.70,436.80]","[43000.0000,43000.0000,43000.0000,43000.0000,43000.0000]","[43000,43000,43000,43000,43000]",284.20,18782,43000.0000,0.0000,0.00
SPY,2023-12-31,f,0.00539,0.00001,0,"[382.43,409.39,443.28,427.48,475.31]","[39400.0000,39400.0000,39400.0000,39400.0000,39400.0000]","[39400,39400,39400,39400,39400]",309.32,18727,39400.0000,0.0000,0.00
JEF,2023-12-31,f,0.00504,-0.00003,0,"[34.28,31.74,33.17,36.63,40.41]","[433558.0000,433558.0000,433558.0000,433558.0000,433558.0000]","[433558,433558,433558,433558,433558]",28.56,17520,433558.0000,0.0000,0.00
LILAK,2023-12-31,f,0.00271,-0.00063,0,"[7.60,8.26,8.62,8.16,7.34]","[1284020.0000,1284020.0000,1284020.0000,1284020.0000,1284020.0000]","[1284020,1284020,1284020,1284020,1284020]",34.05,9425,1284020.0000,0.0000,0.00
BATRK,2023-12-31,f,0.00255,0.00000,0,"[32.23,33.69,39.62,35.73,39.58]","[0.0000,0.0000,0.0000,223645.0000,223645.0000]","[0,0,0,223645,223645]",37.68,8852,223645.0000,0.0000,0.00
STNE,2023-12-31,f,0.00000,-0.03643,153480,"[9.44,9.54,12.74,10.67,18.03]","[10695448.0000,10695448.0000,10695448.0000,10695448.0000,0.0000]","[10695448,10695448,10695448,10695448,0]",18.44,0,0.0000,-10695448.0000,-100.00
MKL,2023-12-31,f,0.00000,-0.07461,229534,"[1317.49,1277.41,1383.18,1472.49,1419.90]","[467611.0000,471661.0000,471661.0000,158715.0000,0.0000]","[467611,471661,471661,158715,0]",1357.10,0,0.0000,-158715.0000,-100.00
GL,2023-12-31,f,0.00000,-0.02884,95758,"[120.55,110.02,109.62,108.73,121.72]","[6353727.0000,6353727.0000,2515574.0000,831014.0000,0.0000]","[6353727,6353727,2515574,831014,0]",41.65,0,0.0000,-831014.0000,-100.00
DHI,2023-12-31,f,0.00000,-0.20480,774451,"[89.14,97.69,121.69,107.47,151.98]","[0.0000,0.0000,5969714.0000,5969714.0000,0.0000]","[0,0,5969714,5969714,0]",109.69,0,0.0000,-5969714.0000,-100.00
