symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
ORCL,2023-12-31,f,1.33843,-0.09836,1215,"[81.74,92.92,119.09,105.92,105.43]","[1431534.0000,1398020.0000,1388947.0000,1376699.0000,1365198.0000]","[1431534,1398020,1388947,1376699,1365198]",35.82,143933,1365198.0000,-11501.0000,-0.84
LHX,2023-12-31,f,1.28044,0.15739,160,"[208.21,196.24,195.77,174.12,210.62]","[652532.0000,653002.0000,654176.0000,654599.0000,653768.0000]","[652532,653002,654176,654599,653768]",196.51,137697,653768.0000,-831.0000,-0.13
WFRD,2023-12-31,f,1.25951,-0.72260,79262,"[50.92,59.35,66.42,90.33,97.83]","[4921500.0000,4021500.0000,3820800.0000,2227000.0000,1384500.0000]","[4921500,4021500,3820800,2227000,1384500]",15.39,135446,1384500.0000,-842500.0000,-37.83
EBAY,2023-12-31,f,1.18552,-0.09568,1161,"[41.47,44.37,44.69,44.09,43.62]","[2714558.0000,2878764.0000,2890183.0000,2949190.0000,2922730.0000]","[2714558,2878764,2890183,2949190,2922730]",52.90,127489,2922730.0000,-26460.0000,-0.90
WFC,2023-12-31,f,1.17099,0.13592,563,"[41.29,37.38,42.68,40.86,49.22]","[2593661.0000,2590110.0000,2584852.0000,2570961.0000,2558451.0000]","[2593661,2590110,2584852,2570961,2558451]",40.88,125927,2558451.0000,-12510.0000,-0.49
KVUE,2023-12-31,f,1.08302,0.33631,34033,"[26.42,20.08,21.53]","[0.0000,0.0000,0.0000,3774062.0000,5409457.0000]","[0,0,0,3774062,5409457]",22.51,116466,5409457.0000,1635395.0000,43.33
AWI,2023-12-31,f,1.06169,0.23067,866,"[68.59,71.24,73.46,72.00,98.32]","[1144763.0000,1162986.0000,1179257.0000,1171409.0000,1161243.0000]","[1144763,1162986,1179257,1171409,1161243]",81.98,114173,1161243.0000,-10166.0000,-0.87
SYY,2023-12-31,f,1.03054,0.04084,370,"[76.45,77.23,74.20,66.05,73.13]","[1510972.0000,1507581.0000,1521152.0000,1520742.0000,1515425.0000]","[1510972,1507581,1521152,1520742,1515425]",47.11,110823,1515425.0000,-5317.0000,-0.35
CL,2023-12-31,f,0.96499,0.05064,234,"[78.79,75.15,77.04,71.11,79.71]","[1304400.0000,1301900.0000,1305700.0000,1305000.0000,1301900.0000]","[1304400,1301900,1305700,1305000,1301900]",60.47,103774,1301900.0000,-3100.0000,-0.24
WBD,2023-12-31,f,0.84617,-0.00947,2,"[9.48,15.10,12.54,10.86,11.38]","[7915214.0000,7965561.0000,7994718.0000,7996284.0000,7996117.0000]","[7915214,7965561,7994718,7996284,7996117]",16.36,90996,7996117.0000,-167.0000,0.00
FOXA,2023-12-31,f,0.71971,-0.08589,364,"[30.37,34.05,34.00,31.20,29.67]","[2659030.0000,2639747.0000,2627340.0000,2620542.0000,2608580.0000]","[2659030,2639747,2627340,2620542,2608580]",31.38,77397,2608580.0000,-11962.0000,-0.46
GS,2023-12-31,f,0.68378,0.07496,123,"[343.38,327.11,322.54,323.57,385.77]","[194331.0000,190156.0000,191586.0000,190960.0000,190613.0000]","[194331,190156,191586,190960,190613]",185.40,73533,190613.0000,-347.0000,-0.18
CSCO,2023-12-31,f,0.64163,-0.09021,824,"[47.64,52.28,51.74,53.76,50.52]","[1546714.0000,1396997.0000,1392526.0000,1381602.0000,1365795.0000]","[1546714,1396997,1392526,1381602,1365795]",24.81,69000,1365795.0000,-15807.0000,-1.14
CMCSA,2023-12-31,f,0.58942,-0.04311,101,"[34.97,37.91,41.55,44.34,43.85]","[1457700.0000,1447600.0000,1454800.0000,1447800.0000,1445500.0000]","[1457700,1447600,1454800,1447800,1445500]",30.71,63385,1445500.0000,-2300.0000,-0.16
EMBC,2023-12-31,f,0.47022,0.07711,345,"[25.29,28.12,21.60,15.05,18.93]","[2566207.0000,2595236.0000,2621589.0000,2650941.0000,2671237.0000]","[2566207,2595236,2621589,2650941,2671237]",28.81,50567,2671237.0000,20296.0000,0.77
FHB,2023-12-31,f,0.41169,0.06829,119,"[26.04,20.63,18.01,18.05,22.86]","[1901613.0000,1910292.0000,1924107.0000,1930875.0000,1936687.0000]","[1901613,1910292,1924107,1930875,1936687]",22.35,44273,1936687.0000,5812.0000,0.30
UHAL,2023-12-31,f,0.36617,0.00388,7921,"[60.19,59.65,55.32,54.57,71.80]","[756597.0000,718784.0000,714614.0000,673777.0000,548420.0000]","[756597,718784,714614,673777,548420]",53.50,39377,548420.0000,-125357.0000,-18.61
GLW,2023-12-31,f,0.33568,-0.02024,0,"[31.94,35.28,35.04,30.47,30.45]","[1190000.0000,1190000.0000,1190000.0000,1185500.0000,1185500.0000]","[1190000,1190000,1190000,1185500,1185500]",15.08,36098,1185500.0000,0.0000,0.00
MU,2023-12-31,f,0.31394,0.04552,372,"[49.98,60.34,63.11,68.03,85.34]","[702454.0000,639903.0000,667171.0000,400445.0000,395600.0000]","[702454,639903,667171,400445,395600]",46.83,33761,395600.0000,-4845.0000,-1.21
MAS,2023-12-31,f,0.29597,0.10342,6598,"[46.67,49.72,57.38,53.45,66.98]","[0.0000,0.0000,0.0000,365619.0000,475183.0000]","[0,0,0,365619,475183]",56.53,31828,475183.0000,109564.0000,29.97
SPY,2023-12-31,f,0.25554,0.22120,22418,"[382.43,409.39,443.28,427.48,475.31]","[35440.0000,3465.0000,4140.0000,8151.0000,57814.0000]","[35440,3465,4140,8151,57814]",445.21,27480,57814.0000,49663.0000,609.29
