symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
AMD,2023-12-31,f,0.31795,-0.06956,172168,"[64.77,98.01,113.91,102.82,147.41]","[2636521.0000,976481.0000,1086301.0000,3743724.0000,2367702.0000]","[1744721,1185881,-3634499,-1344676,-4039998]",105.79,349023,2367702.0000,-1376022.0000,-36.76
MDT,2023-12-31,f,0.31554,0.24470,255503,"[77.72,80.62,88.10,78.36,82.38]","[1158946.0000,838714.0000,2173023.0000,1025605.0000,4204692.0000]","[1125646,778314,2174823,1089305,3976492]",82.52,346383,4204692.0000,3179087.0000,309.97
NDAQ,2023-12-31,f,0.31389,0.20219,184958,"[61.35,54.67,49.85,48.59,58.14]","[1424865.0000,1243349.0000,3175976.0000,2460838.0000,5926415.0000]","[1324465,1135749,3091676,2409538,5874215]",54.10,344562,5926415.0000,3465577.0000,140.83
INTC,2023-12-31,f,0.31195,0.12925,65758,"[26.43,32.67,33.44,35.55,50.25]","[767930.0000,8456221.0000,11078181.0000,5281887.0000,6814699.0000]","[1195230,7281021,10530981,2918687,4329299]",33.51,342439,6814699.0000,1532812.0000,29.02
C,2023-12-31,f,0.30636,-0.00482,47492,"[45.23,46.89,46.04,41.13,51.44]","[1943143.0000,2558998.0000,2088563.0000,7563647.0000,6537680.0000]","[2561243,709098,-1110137,5669947,5534780]",46.57,336298,6537680.0000,-1025967.0000,-13.56
SPLK,2023-12-31,f,0.29077,0.15270,165755,"[86.09,95.88,106.09,146.25,152.35]","[2096094.0000,1464932.0000,1556846.0000,984883.0000,2095095.0000]","[2102094,1213532,1499846,868083,2085495]",129.47,319188,2095095.0000,1110212.0000,112.73
QCOM,2023-12-31,f,0.27291,0.09501,55726,"[109.94,127.58,119.04,111.06,144.63]","[269150.0000,734736.0000,2270202.0000,1635488.0000,2071359.0000]","[-272050,4536,1341202,-554712,426459]",124.04,299581,2071359.0000,435871.0000,26.65
UNP,2023-12-31,f,0.26790,0.03784,13473,"[207.07,201.26,204.62,203.63,245.62]","[916928.0000,619633.0000,289105.0000,1137310.0000,1197287.0000]","[926528,662033,127505,831710,1009787]",205.06,294078,1197287.0000,59977.0000,5.27
PPG,2023-12-31,f,0.26731,0.18885,181728,"[125.74,133.58,148.30,129.80,149.55]","[588757.0000,737249.0000,1335523.0000,661080.0000,1962112.0000]","[588757,737249,1335523,661080,1962112]",137.77,293434,1962112.0000,1301032.0000,196.80
GM,2023-12-31,f,0.26669,0.05367,55942,"[33.64,36.68,38.56,32.97,35.92]","[7043105.0000,4998996.0000,5097696.0000,6526308.0000,8150160.0000]","[6063605,3838996,2959696,2569408,5974160]",39.86,292754,8150160.0000,1623852.0000,24.88
SHEL,2023-12-31,f,0.25447,0.00160,20528,"[56.95,57.54,60.38,64.38,65.80]","[2019203.0000,3629772.0000,4179755.0000,3929837.0000,4245215.0000]","[2019203,3659772,4009755,3759837,4075215]",54.47,279335,4245215.0000,315378.0000,8.03
SPGI,2023-12-31,f,0.25304,0.11609,98055,"[334.94,344.77,400.89,365.41,440.52]","[1052748.0000,1019570.0000,621687.0000,387226.0000,630556.0000]","[923748,1062470,690687,407926,643156]",364.64,277773,630556.0000,243330.0000,62.84
WMT,2023-12-31,f,0.25145,0.04889,74958,"[141.79,147.45,157.18,159.93,157.65]","[204670.0000,2056215.0000,2576467.0000,1278813.0000,1750871.0000]","[-123230,1561515,2273467,759313,1048171]",148.76,276025,1750871.0000,472058.0000,36.91
CVE,2023-12-31,f,0.25055,0.02982,109784,"[19.41,17.46,16.98,20.82,16.65]","[1122524.0000,0.0000,5168367.0000,10660213.0000,16518463.0000]","[1122524,0,5168367,10660213,16518463]",18.32,275032,16518463.0000,5858250.0000,54.95
VMC,2023-12-31,f,0.25037,0.13018,126696,"[175.11,171.56,225.44,202.02,227.01]","[259942.0000,645283.0000,525750.0000,620098.0000,1210701.0000]","[259942,645283,525750,620098,1210701]",192.56,274841,1210701.0000,590603.0000,95.24
PFE,2023-12-31,f,0.25009,0.11346,163648,"[51.24,40.80,36.68,33.17,28.79]","[1124608.0000,973858.0000,1613796.0000,4253114.0000,9535483.0000]","[2244208,2254158,1303496,2783614,7661083]",34.27,274527,9535483.0000,5282369.0000,124.20
SBAC,2023-12-31,f,0.24971,0.17348,151121,"[280.31,261.07,231.76,200.17,253.69]","[797089.0000,421609.0000,263267.0000,414561.0000,1080499.0000]","[797089,421609,263267,414561,1080499]",239.56,274112,1080499.0000,665938.0000,160.64
LPLA,2023-12-31,f,0.24871,0.18474,209373,"[216.17,202.40,217.43,237.65,227.62]","[733703.0000,1487641.0000,557422.0000,299456.0000,1199445.0000]","[733703,1487641,557422,299456,1199445]",226.64,273018,1199445.0000,899989.0000,300.54
