symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
SDGR,2023-12-31,f,0.65561,0.03399,6972,"[18.69,26.33,49.92,28.27,35.80]","[3852037.0000,3906709.0000,3517355.0000,2835903.0000,3053521.0000]","[3852037,3906709,3517355,2835903,3053521]",52.83,109316,3053521.0000,217618.0000,7.67
TRMB,2023-12-31,f,0.59820,-0.18491,18,"[50.56,52.42,52.94,53.86,53.20]","[1906218.0000,1901682.0000,1954457.0000,1875236.0000,1874894.0000]","[1906218,1901682,1954457,1875236,1874894]",71.62,99744,1874894.0000,-342.0000,-0.02
VERV,2023-12-31,f,0.58732,0.05264,24814,"[19.35,14.42,18.75,13.26,13.94]","[4365830.0000,4482091.0000,5150851.0000,5200567.0000,7025116.0000]","[4365830,4482091,5150851,5200567,7025116]",27.37,97930,7025116.0000,1824549.0000,35.08
IONS,2023-12-31,f,0.57801,-0.25426,22134,"[37.77,35.74,41.03,45.36,50.59]","[2673538.0000,2637192.0000,2422631.0000,2366367.0000,1905056.0000]","[2673538,2637192,2422631,2366367,1905056]",47.61,96377,1905056.0000,-461311.0000,-19.49
BITO,2023-12-31,f,0.55903,0.55904,78019,"[10.43,17.52,16.98,13.81,20.49]","[0.0000,0.0000,0.0000,0.0000,4549207.0000]","[0,0,0,0,4549207]",17.15,93213,4549207.0000,4549207.0000,
IRDM,2023-12-31,f,0.53665,-0.14225,10797,"[51.40,61.93,62.12,45.49,41.16]","[1494455.0000,1452652.0000,1548046.0000,1924779.0000,2173964.0000]","[1494455,1452652,1548046,1924779,2173964]",39.51,89480,2173964.0000,249185.0000,12.95
CDNA,2023-12-31,f,0.51780,0.15528,4896,"[11.41,9.14,8.50,7.00,12.00]","[6188182.0000,6799439.0000,6638350.0000,6679323.0000,7194722.0000]","[6188182,6799439,6638350,6679323,7194722]",31.46,86337,7194722.0000,515399.0000,7.72
ACCD,2023-12-31,f,0.49017,-0.00552,8618,"[7.79,14.38,13.47,10.58,12.01]","[5458916.0000,5738712.0000,5683906.0000,6042523.0000,6805208.0000]","[5458916,5738712,5683906,6042523,6805208]",30.87,81731,6805208.0000,762685.0000,12.62
NVDA,2023-12-31,f,0.43981,-0.31836,35680,"[146.14,277.77,423.02,434.99,495.22]","[523181.0000,414319.0000,295732.0000,224793.0000,148081.0000]","[523181,414319,295732,224793,148081]",173.47,73333,148081.0000,-76712.0000,-34.13
ARCT,2023-12-31,f,0.38721,0.01051,4171,"[16.96,23.97,28.68,25.55,31.53]","[2012429.0000,1985421.0000,1906996.0000,1901546.0000,2047687.0000]","[2012429,1985421,1906996,1901546,2047687]",29.13,64564,2047687.0000,146141.0000,7.69
ADPT,2023-12-31,f,0.37635,-0.11000,6720,"[7.64,8.83,6.71,5.45,4.90]","[9201245.0000,9205125.0000,10453752.0000,11509308.0000,12806513.0000]","[9201245,9205125,10453752,11509308,12806513]",25.63,62752,12806513.0000,1297205.0000,11.27
AVAV,2023-12-31,f,0.37404,-0.08977,4933,"[85.66,91.66,102.28,111.53,126.04]","[644045.0000,592623.0000,600314.0000,536351.0000,494827.0000]","[644045,592623,600314,536351,494827]",83.21,62368,494827.0000,-41524.0000,-7.74
MELI,2023-12-31,f,0.34052,-0.03180,2476,"[846.24,1318.06,1184.60,1267.88,1571.54]","[75982.0000,59451.0000,43594.0000,37873.0000,36129.0000]","[75982,59451,43594,37873,36129]",1023.04,56778,36129.0000,-1744.0000,-4.60
PINS,2023-12-31,f,0.32090,0.20091,27939,"[24.28,27.27,27.34,27.03,37.04]","[0.0000,465460.0000,465512.0000,572563.0000,1444579.0000]","[0,465460,465512,572563,1444579]",29.66,53507,1444579.0000,872016.0000,152.30
VRTX,2023-12-31,f,0.30308,-0.00788,3345,"[288.78,315.07,351.91,347.74,406.89]","[122197.0000,120509.0000,115671.0000,115331.0000,124197.0000]","[122197,120509,115671,115331,124197]",249.54,50535,124197.0000,8866.0000,7.69
MASS,2023-12-31,f,0.29249,0.08524,2978,"[7.62,8.60,6.86,6.66,11.22]","[3689475.0000,3992899.0000,3972905.0000,4013460.0000,4346579.0000]","[3689475,3992899,3972905,4013460,4346579]",35.52,48769,4346579.0000,333119.0000,8.30
AMD,2023-12-31,f,0.27484,0.06247,5568,"[64.77,98.01,113.91,102.82,147.41]","[0.0000,186677.0000,235518.0000,266380.0000,310882.0000]","[0,186677,235518,266380,310882]",94.19,45827,310882.0000,44502.0000,16.71
CERS,2023-12-31,f,0.27093,0.01893,1611,"[3.65,2.97,2.46,1.62,2.16]","[15863384.0000,22100119.0000,20657391.0000,20061906.0000,20914326.0000]","[15863384,22100119,20657391,20061906,20914326]",4.69,45175,20914326.0000,852420.0000,4.25
GLBE,2023-12-31,f,0.26938,-0.05713,2927,"[20.64,32.23,40.94,39.74,39.63]","[937880.0000,1177763.0000,1081123.0000,1059648.0000,1133401.0000]","[937880,1177763,1081123,1059648,1133401]",36.31,44917,1133401.0000,73753.0000,6.96
VEEV,2023-12-31,f,0.26185,-0.05337,5337,"[161.38,183.79,197.73,203.45,192.52]","[211478.0000,208613.0000,200394.0000,199828.0000,226786.0000]","[211478,208613,200394,199828,226786]",257.24,43661,226786.0000,26958.0000,13.49
