symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
REGN,2023-12-31,f,0.54148,0.23930,42007,"[721.49,821.67,718.54,822.96,878.29]","[38881.0000,64898.0000,100933.0000,60749.0000,110132.0000]","[38881,64898,100933,60749,110132]",777.80,96728,110132.0000,49383.0000,81.29
EWZ,2023-12-31,f,0.53833,0.53831,90279,"[27.97,27.38,32.43,30.67,34.96]","[0.0000,10176.0000,16047.0000,0.0000,2750734.0000]","[0,10176,16047,0,2750734]",32.82,96166,2750734.0000,2750734.0000,
ABBV,2023-12-31,f,0.52649,0.00758,4702,"[161.61,159.37,134.73,149.06,154.97]","[30102.0000,411430.0000,634305.0000,575960.0000,606893.0000]","[30102,411430,634305,575960,606893]",154.58,94050,606893.0000,30933.0000,5.37
PM,2023-12-31,f,0.51783,0.02240,9136,"[101.21,97.25,97.62,92.58,94.08]","[273568.0000,447041.0000,814585.0000,885361.0000,983247.0000]","[273568,447041,814585,885361,983247]",95.43,92504,983247.0000,97886.0000,11.06
MNST,2023-12-31,f,0.50788,-0.22234,39074,"[50.76,54.01,57.44,52.95,57.61]","[1849466.0000,1853654.0000,1904846.0000,2281687.0000,1574845.0000]","[1849466,1853654,1904846,2281687,1574845]",45.46,90727,1574845.0000,-706842.0000,-30.98
PYPL,2023-12-31,f,0.49601,0.00061,2446,"[71.22,75.94,66.73,58.46,61.41]","[970959.0000,1552768.0000,1502093.0000,1402042.0000,1442844.0000]","[970959,1552768,1502093,1402042,1442844]",84.51,88605,1442844.0000,40802.0000,2.91
KR,2023-12-31,f,0.49452,-0.05959,5248,"[44.58,49.37,47.00,44.75,45.71]","[1966109.0000,1592171.0000,1783329.0000,2048620.0000,1932588.0000]","[1966109,1592171,1783329,2048620,1932588]",42.75,88339,1932588.0000,-116032.0000,-5.66
VEEV,2023-12-31,f,0.48587,-0.08612,2833,"[161.38,183.79,197.73,203.45,192.52]","[481385.0000,479639.0000,493959.0000,465146.0000,450835.0000]","[481385,479639,493959,465146,450835]",240.80,86795,450835.0000,-14311.0000,-3.08
FI,2023-12-31,f,0.47913,0.21412,31482,"[101.07,113.03,126.15,112.96,132.84]","[184557.0000,46645.0000,264633.0000,388156.0000,644315.0000]","[184557,46645,264633,388156,644315]",119.43,85591,644315.0000,256159.0000,65.99
DLTR,2023-12-31,f,0.46421,0.07148,3307,"[141.44,143.55,143.50,106.45,142.05]","[554266.0000,527521.0000,591525.0000,610401.0000,583782.0000]","[554266,527521,591525,610401,583782]",117.59,82926,583782.0000,-26619.0000,-4.36
MCHI,2023-12-31,f,0.44995,-0.05813,1307,"[47.50,49.89,44.74,43.29,40.74]","[821666.0000,647945.0000,1426247.0000,1941855.0000,1972950.0000]","[821666,647945,1426247,1941855,1972950]",50.30,80378,1972950.0000,31095.0000,1.60
KMB,2023-12-31,f,0.44406,-0.06633,5563,"[135.75,134.22,138.06,120.85,121.51]","[758662.0000,678966.0000,652059.0000,698740.0000,652830.0000]","[758662,678966,652059,698740,652830]",136.67,79325,652830.0000,-45910.0000,-6.57
