symbol,reporting_date,form_type,percent_of_portfolio,change_in_percent_of_portfolio,trade_value,priceHistory,ownHistory,netOwnHistory,avg_buy_price,value,adjusted_shares,change_in_shares,percent_change
ABBV,2023-12-31,f,0.47893,0.13375,97082,"[161.61,159.37,134.73,149.06,154.97]","[338796.0000,322896.0000,1287108.0000,1358099.0000,1996711.0000]","[338796,322896,1287108,1358099,1996711]",143.84,309430,1996711.0000,638612.0000,47.02
IBM,2023-12-31,f,0.46656,0.33824,198527,"[140.89,131.09,133.81,140.30,163.55]","[0.0000,1470900.0000,1618700.0000,536400.0000,1843100.0000]","[0,1470900,1618700,536400,1843100]",147.20,301439,1843100.0000,1306700.0000,243.61
DBX,2023-12-31,f,0.46319,0.01976,17042,"[22.38,21.62,26.67,27.23,29.48]","[8069833.0000,8645933.0000,9297833.0000,9550533.0000,10151433.0000]","[8069833,8645933,9297833,9550533,10151433]",22.97,299264,10151433.0000,600900.0000,6.29
MOH,2023-12-31,f,0.46188,-0.01794,11131,"[330.22,267.49,301.24,327.89,361.31]","[1302437.0000,1179687.0000,1001737.0000,858237.0000,825937.0000]","[1302437,1179687,1001737,858237,825937]",93.77,298419,825937.0000,-32300.0000,-3.76
FTNT,2023-12-31,f,0.45963,-0.05781,5735,"[48.89,66.46,75.59,58.68,58.53]","[4272445.0000,6230645.0000,7306045.0000,5171545.0000,5073694.0000]","[4272445,6230645,7306045,5171545,5073694]",34.24,296963,5073694.0000,-97851.0000,-1.89
HOLX,2023-12-31,f,0.44411,0.01703,28646,"[74.81,80.70,80.97,69.40,71.45]","[2537677.0000,2577070.0000,2908577.0000,3609177.0000,4015902.0000]","[2537677,2577070,2908577,3609177,4015902]",74.24,286936,4015902.0000,406725.0000,11.27
NVS,2023-12-31,f,0.44353,-0.01444,20409,"[90.72,92.00,100.91,101.86,100.97]","[3420970.0000,3047444.0000,2354845.0000,2636845.0000,2838082.0000]","[3420970,3047444,2354845,2636845,2838082]",89.17,286561,2838082.0000,201237.0000,7.63
GOOGL,2023-12-31,f,0.44108,0.37986,238853,"[88.23,103.73,119.70,130.86,139.69]","[4218455.0000,0.0000,2615960.0000,274460.0000,2040080.0000]","[4218455,0,2615960,274460,2040080]",132.11,284979,2040080.0000,1765620.0000,643.31
BA,2023-12-31,f,0.42680,0.13204,35283,"[190.49,212.43,211.16,191.68,260.66]","[221300.0000,2592100.0000,2209700.0000,901900.0000,1057900.0000]","[221300,2592100,2209700,901900,1057900]",201.78,275752,1057900.0000,156000.0000,17.30
V,2023-12-31,f,0.41877,0.24120,143783,"[207.76,225.46,237.48,230.01,260.35]","[2253074.0000,1166368.0000,795693.0000,452794.0000,1039231.0000]","[2253074,1166368,795693,452794,1039231]",223.03,270564,1039231.0000,586437.0000,129.52
JNJ,2023-12-31,f,0.41463,0.41199,265489,"[176.65,155.00,165.52,155.75,156.74]","[2254125.0000,1968942.0000,5500.0000,10000.0000,1709131.0000]","[2254125,1968942,5500,10000,1709131]",156.31,267889,1709131.0000,1699131.0000,16991.31
GE,2023-12-31,f,0.41236,0.02345,2891,"[83.79,95.60,109.85,110.55,127.63]","[0.0000,97468.0000,1782245.0000,2063165.0000,2087438.0000]","[0,97468,1782245,2063165,2087438]",103.32,266420,2087438.0000,24273.0000,1.18
NBIX,2023-12-31,f,0.40553,0.10051,48654,"[119.44,101.22,94.30,112.50,131.76]","[1613664.0000,1947064.0000,1643402.0000,1590164.0000,1988546.0000]","[1613664,1947064,1643402,1590164,1988546]",107.86,262011,1988546.0000,398382.0000,25.05
DDOG,2023-12-31,f,0.39282,0.21677,101710,"[73.50,72.66,98.38,91.09,121.38]","[1765266.0000,2761500.0000,1373292.0000,1133592.0000,2090952.0000]","[1765266,2761500,1373292,1133592,2090952]",101.98,253800,2090952.0000,957360.0000,84.45
PG,2023-12-31,f,0.37787,0.37789,243573,"[151.56,148.69,151.74,145.86,146.54]","[325500.0000,176900.0000,0.0000,0.0000,1666029.0000]","[325500,176900,0,0,1666029]",146.20,244140,1666029.0000,1666029.0000,
DASH,2023-12-31,f,0.36592,0.09744,36501,"[48.82,63.56,76.42,79.47,98.89]","[1208143.0000,1472443.0000,1465943.0000,1981443.0000,2390743.0000]","[1208143,1472443,1465943,1981443,2390743]",94.47,236421,2390743.0000,409300.0000,20.66
RBLX,2023-12-31,f,0.36144,0.09695,9291,"[28.46,44.98,40.30,28.96,45.72]","[10150982.0000,8781082.0000,7130182.0000,5356549.0000,5107738.0000]","[10150982,8781082,7130182,5356549,5107738]",58.63,233526,5107738.0000,-248811.0000,-4.64
SNOW,2023-12-31,f,0.35984,-0.17966,158793,"[143.54,154.29,175.98,152.77,199.00]","[1851899.0000,2422599.0000,2198699.0000,2071099.0000,1168302.0000]","[1851899,2422599,2198699,2071099,1168302]",186.24,232492,1168302.0000,-902797.0000,-43.59
EDU,2023-12-31,f,0.35941,-0.00046,28737,"[34.82,38.61,39.49,58.55,73.28]","[3798454.0000,3389754.0000,3282754.0000,3604786.0000,3168854.0000]","[3798454,3389754,3282754,3604786,3168854]",24.35,232214,3168854.0000,-435932.0000,-12.09
NGG,2023-12-31,f,0.34989,-0.01415,12637,"[60.32,67.99,67.33,60.63,67.99]","[3838554.0000,3751754.0000,3645654.0000,3521454.0000,3324954.0000]","[3838554,3751754,3645654,3521454,3324954]",60.27,226064,3324954.0000,-196500.0000,-5.58
ELF,2023-12-31,f,0.34804,-0.07765,90895,"[55.30,82.35,114.23,109.83,144.34]","[1170600.0000,1436412.0000,1930400.0000,2273100.0000,1557900.0000]","[1170600,1436412,1930400,2273100,1557900]",56.15,224867,1557900.0000,-715200.0000,-31.46
CPB,2023-12-31,f,0.34257,0.02797,26500,"[56.75,54.98,45.71,41.08,43.23]","[3743980.0000,3533880.0000,4331580.0000,4491280.0000,5119840.0000]","[3743980,3533880,4331580,4491280,5119840]",47.46,221331,5119840.0000,628560.0000,14.00
C,2023-12-31,f,0.34032,0.31104,178531,"[45.23,46.89,46.04,41.13,51.44]","[5603820.0000,2907320.0000,1989120.0000,417723.0000,4274520.0000]","[5603820,2907320,1989120,417723,4274520]",46.34,219881,4274520.0000,3856797.0000,923.29
CORT,2023-12-31,f,0.33812,0.03082,3316,"[20.31,21.66,22.25,27.25,32.48]","[7288871.0000,6788069.0000,6699971.0000,6614871.0000,6725871.0000]","[7288871,6788069,6699971,6614871,6725871]",13.46,218456,6725871.0000,111000.0000,1.68
